;kingdom;supergroup;phylum;class;order;family;genus;species;Confidence
>ASV_7618;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.854831719
>ASV_7619;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_constrictus;0.999993946
>ASV_7620;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999742
>ASV_7621;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.972924627
>ASV_7622;Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Anoecales;Cafeteriaceae;Cafeteria;;0.835136497
>ASV_7623;Eukaryota;Opisthokonta;Metazoa;Echinodermata;Echinodermata_X;Echinodermata_XX;;;0.999999996
>ASV_7624;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;;;0.757299148
>ASV_7625;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999947066
>ASV_7626;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.853429445
>ASV_7627;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.873376842
>ASV_7628;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix_tenuilepis;0.977618983
>ASV_7629;Eukaryota;;;;;;;;1
>ASV_7630;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.837182703
>ASV_7631;Eukaryota;Stramenopiles;Opalozoa;MAST-12;MAST-12D;MAST-12D_X;MAST-12D_XX;MAST-12D_XX_sp.;0.999211957
>ASV_7632;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.992994739
>ASV_7633;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.982265208
>ASV_7634;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.99998392
>ASV_7635;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;;0.959294858
>ASV_7636;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;;;;0.703284247
>ASV_7637;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.978562304
>ASV_7638;Eukaryota;Rhizaria;Cercozoa;;;;;;0.980061955
>ASV_7639;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999973
>ASV_7640;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.988239711
>ASV_7641;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;;;;0.886862297
>ASV_7642;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Aphelidium;Aphelidium_sp.;0.824200226
>ASV_7643;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytriales;Thraustochytriaceae;Thraustochytriaceae_X;Thraustochytriaceae_X_sp.;0.999999633
>ASV_7644;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.963569462
>ASV_7645;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.883400787
>ASV_7646;Eukaryota;Opisthokonta;Fungi;;;;;;0.747553367
>ASV_7647;Eukaryota;Opisthokonta;Fungi;;;;;;0.858653278
>ASV_7648;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;;0.967516099
>ASV_7649;Eukaryota;;;;;;;;1
>ASV_7650;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pterosperma;Pterosperma_sp.;0.961093716
>ASV_7651;Eukaryota;Opisthokonta;;;;;;;0.993297545
>ASV_7652;Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae_X;Embryophyceae_XX;Platanus;Platanus_occidentalis;0.965140061
>ASV_7653;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.999925432
>ASV_7654;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Pseudoperkinsidae;;;0.99992197
>ASV_7655;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999985
>ASV_7656;Eukaryota;Stramenopiles;Pseudofungi;MAST-2;MAST-2B;MAST-2B_X;MAST-2B_XX;MAST-2B_XX_sp.;0.864098527
>ASV_7657;Eukaryota;Opisthokonta;Metazoa;;;;;;0.951759203
>ASV_7658;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Aphelidium;Aphelidium_sp.;0.80521989
>ASV_7659;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;;;;0.999460063
>ASV_7660;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.999998975
>ASV_7661;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.949207686
>ASV_7662;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.976163394
>ASV_7663;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium_depressum;1
>ASV_7664;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;;0.999829885
>ASV_7665;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;Peronosporales;;;0.838706528
>ASV_7666;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.998731524
>ASV_7667;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.99999997
>ASV_7668;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.988210504
>ASV_7669;Eukaryota;;;;;;;;1
>ASV_7670;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pterosperma;;0.91561787
>ASV_7671;Eukaryota;Opisthokonta;;;;;;;0.820562078
>ASV_7672;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.972509042
>ASV_7673;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Arcocellulus;Arcocellulus_cornucervis;0.764195534
>ASV_7674;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_clade_B3;0.999917064
>ASV_7675;Eukaryota;Opisthokonta;Fungi;;;;;;0.769848015
>ASV_7676;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;;;0.99999568
>ASV_7677;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.889378292
>ASV_7678;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.998445029
>ASV_7679;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Paraphysomonas;Paraphysomonas_foraminifera;0.982059298
>ASV_7680;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Aphelidium;Aphelidium_sp.;0.754325009
>ASV_7681;Eukaryota;Opisthokonta;;;;;;;0.716396115
>ASV_7682;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Syracosphaerales;;;;0.820742028
>ASV_7683;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.999996066
>ASV_7684;Eukaryota;Stramenopiles;Pseudofungi;Pirsonia_Clade;Pirsonia_Clade_X;Pirsonia_Clade_XX;Pirsonia;;0.993033606
>ASV_7685;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix_didyma;0.779569361
>ASV_7686;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;;;;0.996478302
>ASV_7687;Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X;Novel-Gran-5;Novel-Gran-5_X;Novel-Gran-5_X_sp.;0.788834347
>ASV_7688;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;;;;0.835704502
>ASV_7689;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Chytridiomycetes_X;Chytridiomycetes_X_sp.;0.898110578
>ASV_7690;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Chytriodiniaceae;Dissodinium;Dissodinium_pseudolunula;0.735444118
>ASV_7691;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-36;Dino-Group-II-Clade-36_X;Dino-Group-II-Clade-36_X_sp.;0.915347981
>ASV_7692;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.767142838
>ASV_7693;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagophyceae_X;Pelagophyceae_XX;Pelagophyceae_XXX;Pelagophyceae_XXX_sp.;0.99400589
>ASV_7694;Eukaryota;Alveolata;Ciliophora;Spirotrichea;;;;;0.999999071
>ASV_7695;Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Goniomonadales;Goniomonadales_X;Goniomonas;Goniomonas_sp.;0.998720235
>ASV_7696;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3_X;Dino-Group-II-Clade-3_X_sp.;0.985130291
>ASV_7697;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.835411483
>ASV_7698;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.92569137
>ASV_7699;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;0.99997623
>ASV_7700;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.945895807
>ASV_7701;Eukaryota;;;;;;;;1
>ASV_7702;Eukaryota;;;;;;;;1
>ASV_7703;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Chytriodiniaceae;Dissodinium;Dissodinium_pseudolunula;0.741254636
>ASV_7704;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;1
>ASV_7705;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_A;Leegaardiellidae_A_X;Leegaardiellidae_A_X_sp.;0.897491329
>ASV_7706;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;;0.999206463
>ASV_7707;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;;;0.999271736
>ASV_7708;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastigaceae-B;Dolichomastigaceae-B_sp.;0.914665556
>ASV_7709;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.994513001
>ASV_7710;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Salpingacantha;;0.83767188
>ASV_7711;Eukaryota;;;;;;;;1
>ASV_7712;Eukaryota;Stramenopiles;Sagenista;MAST-4;MAST-4F;MAST-4F_X;MAST-4F_XX;MAST-4F_XX_sp.;0.998467274
>ASV_7713;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.99993561
>ASV_7714;Eukaryota;Rhizaria;Radiolaria;Polycystinea;Nassellaria;;;;0.989161232
>ASV_7715;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.884558681
>ASV_7716;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.922997665
>ASV_7717;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999998964
>ASV_7718;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999005158
>ASV_7719;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis_batos;0.995220759
>ASV_7720;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;;;;;0.999997946
>ASV_7721;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-12;Dino-Group-II-Clade-12_X;Dino-Group-II-Clade-12_X_sp.;0.988991181
>ASV_7722;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.991371316
>ASV_7723;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;;;0.999999999
>ASV_7724;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.744780565
>ASV_7725;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.918896826
>ASV_7726;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.990753284
>ASV_7727;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;;;0.999999942
>ASV_7728;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.939156667
>ASV_7729;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.999995985
>ASV_7730;Eukaryota;Stramenopiles;Ochrophyta;Phaeothamniophyceae;Phaeothamniales;Phaeothamniales_X;Phaeothamnion;Phaeothamnion_confervicola;0.701364451
