;kingdom;supergroup;phylum;class;order;family;genus;species;Confidence
>ASV_1849;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-26;Dino-Group-II-Clade-26_X;Dino-Group-II-Clade-26_X_sp.;0.734799756
>ASV_1850;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;;;;;0.759243978
>ASV_1851;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Picochlorum;Picochlorum_atomus;0.735547466
>ASV_1852;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.977741987
>ASV_1853;Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_XX;RAD-C_XXX;RAD-C_XXX_sp.;0.999218096
>ASV_1854;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.982568105
>ASV_1855;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999994116
>ASV_1856;Eukaryota;;;;;;;;1
>ASV_1857;Eukaryota;Opisthokonta;Metazoa;Echinodermata;Echinodermata_X;Echinodermata_XX;;;0.999590266
>ASV_1858;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;0.99988374
>ASV_1859;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlamydomonas;Chlamydomonas_raudensis;0.983026714
>ASV_1860;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_L;Strombidiidae_L_X;Strombidiidae_L_X_sp.;0.877111786
>ASV_1861;Eukaryota;Opisthokonta;Fungi;;;;;;0.851529893
>ASV_1862;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999999
>ASV_1863;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Microstomum;Microstomum_papillosum;0.999698821
>ASV_1864;Eukaryota;Stramenopiles;Sagenista;MAST-10;MAST-10_X;MAST-10_XX;MAST-10_XXX;MAST-10_XXX_sp.;0.999885924
>ASV_1865;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;0.791762338
>ASV_1866;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999495384
>ASV_1867;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.998238783
>ASV_1868;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.946455365
>ASV_1869;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya;Amoebophrya_ceratii;0.878209276
>ASV_1870;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999996
>ASV_1871;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;;;;0.999247749
>ASV_1872;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;Lizzia;Lizzia_blondina;0.935527607
>ASV_1873;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.977031456
>ASV_1874;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.773321254
>ASV_1875;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.803113411
>ASV_1876;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.992814095
>ASV_1877;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.952172755
>ASV_1878;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;0.890430241
>ASV_1879;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;;;;0.999999552
>ASV_1880;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya;Amoebophrya_ceratii;0.978375408
>ASV_1881;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.997241258
>ASV_1882;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.993181093
>ASV_1883;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;;;0.99999594
>ASV_1884;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium_fulvescens;0.99971569
>ASV_1885;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.987103088
>ASV_1886;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Florenciellales;Pseudochatonella;Pseudochatonella_sp.;0.753997583
>ASV_1887;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.912738143
>ASV_1888;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.999998926
>ASV_1889;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.94610062
>ASV_1890;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;RCC391;RCC391_sp.;0.999998278
>ASV_1891;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_peruvianus;0.729656133
>ASV_1892;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.989545495
>ASV_1893;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_simplex;0.997483233
>ASV_1894;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.999951616
>ASV_1895;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.855643679
>ASV_1896;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.997452775
>ASV_1897;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999992
>ASV_1898;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinella;Pedinella_sp.;0.997620657
>ASV_1899;Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-2;Stramenopiles_X-Group-2_X;Stramenopiles_X-Group-2_XX;Stramenopiles_X-Group-2_XXX;Stramenopiles_X-Group-2_XXX_sp.;0.999965532
>ASV_1900;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.991080232
>ASV_1901;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;;0.818568211
>ASV_1902;Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales_X;Leucocryptos;Leucocryptos_sp.;0.998561792
>ASV_1903;Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_XX;RAD-B_XXX;RAD-B_XXX_sp.;0.999964369
>ASV_1904;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.837523963
>ASV_1905;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagophyceae_X;Pelagophyceae_XX;Pelagophyceae_XXX;Pelagophyceae_XXX_sp.;0.982190106
>ASV_1906;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.92690846
>ASV_1907;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae_I;Pelagostrobilidium;;0.774810118
>ASV_1908;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;;;;;0.99987191
>ASV_1909;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-G;Chrysophyceae_Clade-G_X;Chrysophyceae_Clade-G_X_sp.;0.999999997
>ASV_1910;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;TAGIRI1-lineage;TAGIRI1-lineage_X;TAGIRI1-lineage_X_sp.;0.87799624
>ASV_1911;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Aphelidium;Aphelidium_sp.;0.714327944
>ASV_1912;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Dinobryon;Dinobryon_faculiferum;0.952667325
>ASV_1913;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pleurosigma;Pleurosigma_sp.;0.781948952
>ASV_1914;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_1915;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.999925168
>ASV_1916;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.92978749
>ASV_1917;Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B-Group-IV;Spumellarian;Spumellarian_radiolarian;0.998845168
>ASV_1918;Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma_sp.;0.992815133
>ASV_1919;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.837500525
>ASV_1920;Eukaryota;Stramenopiles;Sagenista;MAST-8;MAST-8B;MAST-8B_X;MAST-8B_XX;MAST-8B_XX_sp.;0.99988449
>ASV_1921;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.963198834
>ASV_1922;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999919
>ASV_1923;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Leptocylindrus;Leptocylindrus_minimus;0.999999747
>ASV_1924;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae_A;Strobilidiidae_A_X;Strobilidiidae_A_X_sp.;0.836659068
>ASV_1925;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.983211887
>ASV_1926;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pterosperma;Pterosperma_cristatum;0.978602811
>ASV_1927;Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_XX;RAD-C_XXX;RAD-C_XXX_sp.;0.999986797
>ASV_1928;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.973602039
>ASV_1929;Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales_X;Katablepharis;Katablepharis_japonica;0.999999926
>ASV_1930;Eukaryota;Opisthokonta;;;;;;;0.904889887
>ASV_1931;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.99773283
>ASV_1932;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;;;;0.911857411
>ASV_1933;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.937739554
>ASV_1934;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_H;Diaphanoeca;Diaphanoeca_grandis;0.999645751
>ASV_1935;Eukaryota;;;;;;;;1
>ASV_1936;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Neocalanus;Neocalanus_plumchrus;0.81863933
>ASV_1937;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.989543916
>ASV_1938;Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picomonas;Picomonas_judraskeda;0.999799173
>ASV_1939;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.99998067
>ASV_1940;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;;;0.999981638
>ASV_1941;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.869721017
>ASV_1942;Eukaryota;;;;;;;;1
>ASV_1943;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.86556595
>ASV_1944;Eukaryota;;;;;;;;1
>ASV_1945;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.948370502
>ASV_1946;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Anthozoa;Cerianthus;Cerianthus_filiformis;0.995235569
>ASV_1947;Eukaryota;;;;;;;;1
>ASV_1948;Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinococcales-Clade-B_X;Prasinococcales-Clade-B2_X_sp.;0.904350243
>ASV_1949;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Thaumatomonadida;Thaumatomonadidae;Reckertia;Reckertia_filosa;0.996970384
>ASV_1950;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiales_X;Suessiales_XX;Suessiales_XX_sp.;0.704107711
>ASV_1951;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;1
>ASV_1952;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix_didyma;0.787203121
>ASV_1953;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;;0.966036301
>ASV_1954;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-8;Dino-Group-I-Clade-8_X;Dino-Group-I-Clade-8_X_sp.;0.975444282
>ASV_1955;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-12;Dino-Group-II-Clade-12_X;Dino-Group-II-Clade-12_X_sp.;0.977618433
>ASV_1956;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;TAGIRI1-lineage;TAGIRI1-lineage_X;TAGIRI1-lineage_X_sp.;0.999714093
>ASV_1957;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II-Clade-52_X;Dino-Group-II-Clade-52_X_sp.;0.999998536
>ASV_1958;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.999373886
>ASV_1959;Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagophyceae_X;Pelagophyceae_XX;Pelagophyceae_XXX;Pelagophyceae_XXX_sp.;0.996864561
>ASV_1960;Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata_X;;;;0.999999999
>ASV_1961;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.780409684
>ASV_1962;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.736986355
>ASV_1963;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.968326697
>ASV_1964;Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida_X;Chlorarachnida_XX;Chlorarachnida_XX_sp.;0.916669366
>ASV_1965;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-17;Dino-Group-II-Clade-17_X;Dino-Group-II-Clade-17_X_sp.;1
>ASV_1966;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-G;Chrysophyceae_Clade-G_X;Chrysophyceae_Clade-G_X_sp.;1
>ASV_1967;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.902725051
>ASV_1968;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid-pennate;Fragilaria;Fragilaria_sp.;0.999984201
>ASV_1969;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Arcocellulus;Arcocellulus_cornucervis;0.760049905
>ASV_1970;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.725315128
>ASV_1971;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastigaceae-B;Dolichomastigaceae-B_sp.;0.98465472
>ASV_1972;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Ameira;Ameira_scotti;0.999996149
>ASV_1973;Eukaryota;;;;;;;;1
>ASV_1974;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3_X;Dino-Group-II-Clade-3_X_sp.;0.973666847
>ASV_1975;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Tontoniidae_A;Spirotontonia;;0.702310891
>ASV_1976;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-15;Dino-Group-II-Clade-15_X;Dino-Group-II-Clade-15_X_sp.;0.998281652
>ASV_1977;Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystida_X;Pterocystida_XX;Pterocystida_XX_sp.;0.994870417
>ASV_1978;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;;;0.982357139
>ASV_1979;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.983197865
>ASV_1980;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;;;0.776656762
>ASV_1981;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.997579209
>ASV_1982;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999551137
>ASV_1983;Eukaryota;;;;;;;;1
>ASV_1984;Eukaryota;Rhizaria;Cercozoa;Cercozoa_X;Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Cercozoa_XXXX_sp.;0.999614812
>ASV_1985;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;0.932742618
>ASV_1986;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytriales;Thraustochytriaceae;Labyrinthuloides;Labyrinthuloides_yorkensis;0.999680677
>ASV_1987;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-5;Dino-Group-II-Clade-5_X;Dino-Group-II-Clade-5_X_sp.;0.977768856
>ASV_1988;Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X;Novel-Gran-5;Novel-Gran-5_X;Novel-Gran-5_X_sp.;0.723365404
>ASV_1989;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis_sp.;0.789338626
>ASV_1990;Eukaryota;Stramenopiles;;;;;;;0.937990947
>ASV_1991;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Scyphozoa;;;0.999995847
>ASV_1992;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.998642272
>ASV_1993;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.901176678
>ASV_1994;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;Dino-Group-II-Clade-16_X;Dino-Group-II-Clade-16_X_sp.;0.999998605
>ASV_1995;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Dinobryon;Dinobryon_faculiferum;0.984102928
>ASV_1996;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.99999184
>ASV_1997;Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_env_3;Parmales_env_3A;Parmales_env_3A_sp.;0.982525972
>ASV_1998;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-32;Dino-Group-II-Clade-32_X;Dino-Group-II-Clade-32_X_sp.;1
>ASV_1999;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN_05;Tintinnopsis_05;;0.75640334
>ASV_2000;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.996406593
>ASV_2001;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pterosperma;;0.948471519
>ASV_2002;Eukaryota;Hacrobia;Haptophyta;Haptophyta_Clade_HAP5;Haptophyta_Clade_HAP5_X;Haptophyta_Clade_HAP5_XX;Haptophyta_Clade_HAP5_XXX;Haptophyta_Clade_HAP5_XXX_sp.;0.976570248
>ASV_2003;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-22;Dino-Group-II-Clade-22_X;Dino-Group-II-Clade-22_X_sp.;0.999999971
>ASV_2004;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.999952375
>ASV_2005;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.923419902
>ASV_2006;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarines;Gregarines_X;Selenidium1;Selenidium1_serpulae;0.9987138
>ASV_2007;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;1
>ASV_2008;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;0.931342689
>ASV_2009;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pterosperma;Pterosperma_sp.;0.943547432
>ASV_2010;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999333123
>ASV_2011;Eukaryota;;;;;;;;1
>ASV_2012;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.987479403
>ASV_2013;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.881604069
>ASV_2014;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999964
>ASV_2015;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.946690343
>ASV_2016;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;;;;0.804356834
>ASV_2017;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.96273523
>ASV_2018;Eukaryota;Rhizaria;Cercozoa;;;;;;0.937128184
>ASV_2019;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae_Group_MAIP_4;Abeoformidae_Group_MAIP_4_X;Abeoformidae_Group_MAIP_4_X_sp.;0.855449417
>ASV_2020;Eukaryota;Rhizaria;Cercozoa;;;;;;0.846616266
>ASV_2021;Eukaryota;Opisthokonta;;;;;;;0.758540196
>ASV_2022;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-7;Dino-Group-I-Clade-7_X;Dino-Group-I-Clade-7_X_sp.;0.972716077
>ASV_2023;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_2024;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.945768268
>ASV_2025;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;;;0.829695238
>ASV_2026;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.969663817
>ASV_2027;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;0.833249155
>ASV_2028;Eukaryota;Opisthokonta;Metazoa;Brachiopoda;Brachiopoda_X;Brachiopoda_XX;;;0.996025004
>ASV_2029;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Arcocellulus;Arcocellulus_cornucervis;0.764034216
>ASV_2030;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Sclerotium;Sclerotium_sp.;0.970317503
